
-15.000000 0.043353
-14.696970 0.057655
-14.393939 0.067196
-14.090909 0.070892
-13.787879 0.068148
-13.484848 0.058931
-13.181818 0.043797
-12.878788 0.023866
-12.575758 0.000746
-12.272727 -0.023584
-11.969697 -0.046943
-11.666667 -0.067127
-11.363636 -0.082106
-11.060606 -0.090220
-10.757576 -0.090337
-10.454545 -0.081991
-10.151515 -0.065452
-9.848485 -0.041747
-9.545455 -0.012612
-9.242424 0.019621
-8.939394 0.052190
-8.636364 0.082122
-8.333333 0.106475
-8.030303 0.122598
-7.727273 0.128374
-7.424242 0.122447
-7.121212 0.104382
-6.818182 0.074776
-6.515152 0.035286
-6.212121 -0.011430
-5.909091 -0.061842
-5.606061 -0.111764
-5.303030 -0.156624
-5.000000 -0.191785
-4.696970 -0.212878
-4.393939 -0.216144
-4.090909 -0.198738
-3.787879 -0.158988
-3.484848 -0.096577
-3.181818 -0.012639
-2.878788 0.090243
-2.575758 0.208141
-2.272727 0.335983
-1.969697 0.467833
-1.666667 0.597245
-1.363636 0.717654
-1.060606 0.822786
-0.757576 0.907054
-0.454545 0.965919
-0.151515 0.996178
0.151515 0.996178
0.454545 0.965919
0.757576 0.907054
1.060606 0.822786
1.363636 0.717654
1.666667 0.597245
1.969697 0.467833
2.272727 0.335983
2.575758 0.208141
2.878788 0.090243
3.181818 -0.012639
3.484848 -0.096577
3.787879 -0.158988
4.090909 -0.198738
4.393939 -0.216144
4.696970 -0.212878
5.000000 -0.191785
5.303030 -0.156624
5.606061 -0.111764
5.909091 -0.061842
6.212121 -0.011430
6.515152 0.035286
6.818182 0.074776
7.121212 0.104382
7.424242 0.122447
7.727273 0.128374
8.030303 0.122598
8.333333 0.106475
8.636364 0.082122
8.939394 0.052190
9.242424 0.019621
9.545455 -0.012612
9.848485 -0.041747
10.151515 -0.065452
10.454545 -0.081991
10.757576 -0.090337
11.060606 -0.090220
11.363636 -0.082106
11.666667 -0.067127
11.969697 -0.046943
12.272727 -0.023584
12.575758 0.000746
12.878788 0.023866
13.181818 0.043797
13.484848 0.058931
13.787879 0.068148
14.090909 0.070892
14.393939 0.067196
14.696970 0.057655
15.000000 0.043353
